Offene Stellen,Wirtschaftsabteilung,Quartal,job_vacancies
Job vacancies - total,5-96 Total,1992Q2,
Job vacancies - total,5-96 Total,1992Q3,
Job vacancies - total,5-96 Total,1992Q4,
Job vacancies - total,5-96 Total,1993Q1,
Job vacancies - total,5-96 Total,1993Q2,
Job vacancies - total,5-96 Total,1993Q3,
Job vacancies - total,5-96 Total,1993Q4,
Job vacancies - total,5-96 Total,1994Q1,
Job vacancies - total,5-96 Total,1994Q2,
Job vacancies - total,5-96 Total,1994Q3,
Job vacancies - total,5-96 Total,1994Q4,
Job vacancies - total,5-96 Total,1995Q1,
Job vacancies - total,5-96 Total,1995Q2,
Job vacancies - total,5-96 Total,1995Q3,
Job vacancies - total,5-96 Total,1995Q4,
Job vacancies - total,5-96 Total,1996Q1,
Job vacancies - total,5-96 Total,1996Q2,
Job vacancies - total,5-96 Total,1996Q3,
Job vacancies - total,5-96 Total,1996Q4,
Job vacancies - total,5-96 Total,1997Q1,
Job vacancies - total,5-96 Total,1997Q2,
Job vacancies - total,5-96 Total,1997Q3,
Job vacancies - total,5-96 Total,1997Q4,
Job vacancies - total,5-96 Total,1998Q1,
Job vacancies - total,5-96 Total,1998Q2,
Job vacancies - total,5-96 Total,1998Q3,
Job vacancies - total,5-96 Total,1998Q4,
Job vacancies - total,5-96 Total,1999Q1,
Job vacancies - total,5-96 Total,1999Q2,
Job vacancies - total,5-96 Total,1999Q3,
Job vacancies - total,5-96 Total,1999Q4,
Job vacancies - total,5-96 Total,2000Q1,
Job vacancies - total,5-96 Total,2000Q2,
Job vacancies - total,5-96 Total,2000Q3,
Job vacancies - total,5-96 Total,2000Q4,
Job vacancies - total,5-96 Total,2001Q1,
Job vacancies - total,5-96 Total,2001Q2,
Job vacancies - total,5-96 Total,2001Q3,
Job vacancies - total,5-96 Total,2001Q4,
Job vacancies - total,5-96 Total,2002Q1,
Job vacancies - total,5-96 Total,2002Q2,
Job vacancies - total,5-96 Total,2002Q3,
Job vacancies - total,5-96 Total,2002Q4,
Job vacancies - total,5-96 Total,2003Q1,
Job vacancies - total,5-96 Total,2003Q2,36729.0
Job vacancies - total,5-96 Total,2003Q3,29219.0
Job vacancies - total,5-96 Total,2003Q4,29043.0
Job vacancies - total,5-96 Total,2004Q1,40276.0
