industry,quarter,vacancies,year
10-33 Manufacturing,2024Q1,15799.0,2024
10-33 Manufacturing,2024Q2,14775.0,2024
10-33 Manufacturing,2024Q3,14741.0,2024
10-33 Manufacturing,2025Q1,13494.0,2025
10-33 Manufacturing,2025Q2,12744.0,2025
10-33 Manufacturing,2025Q3,12361.0,2025
10-33 Manufacturing,2025Q4,13004.0,2025
10-33 Manufacturing,2026Q4,10980.0,2026
24-25 Manufacture of metal products,2024Q1,1987.0,2024
24-25 Manufacture of metal products,2024Q2,1992.0,2024
24-25 Manufacture of metal products,2024Q3,1792.0,2024
24-25 Manufacture of metal products,2025Q1,1684.0,2025
24-25 Manufacture of metal products,2025Q2,1672.0,2025
24-25 Manufacture of metal products,2025Q3,1665.0,2025
24-25 Manufacture of metal products,2025Q4,1493.0,2025
24-25 Manufacture of metal products,2026Q4,1540.0,2026
"26 Manufacture of computer, electronic and optical products, watches and clocks",2024Q1,2830.0,2024
"26 Manufacture of computer, electronic and optical products, watches and clocks",2024Q2,2375.0,2024
"26 Manufacture of computer, electronic and optical products, watches and clocks",2024Q3,2505.0,2024
"26 Manufacture of computer, electronic and optical products, watches and clocks",2025Q1,2303.0,2025
"26 Manufacture of computer, electronic and optical products, watches and clocks",2025Q2,2090.0,2025
"26 Manufacture of computer, electronic and optical products, watches and clocks",2025Q3,1999.0,2025
"26 Manufacture of computer, electronic and optical products, watches and clocks",2025Q4,2190.0,2025
"26 Manufacture of computer, electronic and optical products, watches and clocks",2026Q4,1849.0,2026
28 Manufacture of machinery and equipment n.e.c.,2024Q1,2779.0,2024
28 Manufacture of machinery and equipment n.e.c.,2024Q2,2145.0,2024
28 Manufacture of machinery and equipment n.e.c.,2024Q3,2018.0,2024
28 Manufacture of machinery and equipment n.e.c.,2025Q1,1935.0,2025
28 Manufacture of machinery and equipment n.e.c.,2025Q2,1864.0,2025
28 Manufacture of machinery and equipment n.e.c.,2025Q3,1927.0,2025
28 Manufacture of machinery and equipment n.e.c.,2025Q4,2030.0,2025
28 Manufacture of machinery and equipment n.e.c.,2026Q4,1490.0,2026
41-43 Construction,2024Q1,7877.0,2024
41-43 Construction,2024Q2,6847.0,2024
41-43 Construction,2024Q3,7316.0,2024
41-43 Construction,2025Q1,6061.0,2025
41-43 Construction,2025Q2,5853.0,2025
41-43 Construction,2025Q3,6818.0,2025
41-43 Construction,2025Q4,6822.0,2025
41-43 Construction,2026Q4,7354.0,2026
45-47 Trade and repair of motor vehicles and motorcycles,2024Q1,13334.0,2024
45-47 Trade and repair of motor vehicles and motorcycles,2024Q2,10867.0,2024
45-47 Trade and repair of motor vehicles and motorcycles,2024Q3,9702.0,2024
45-47 Trade and repair of motor vehicles and motorcycles,2025Q1,9768.0,2025
45-47 Trade and repair of motor vehicles and motorcycles,2025Q2,10696.0,2025
45-47 Trade and repair of motor vehicles and motorcycles,2025Q3,10616.0,2025
45-47 Trade and repair of motor vehicles and motorcycles,2025Q4,8233.0,2025
45-47 Trade and repair of motor vehicles and motorcycles,2026Q4,10742.0,2026
45-96 SECTOR III,2024Q1,87157.0,2024
45-96 SECTOR III,2024Q2,80448.0,2024
45-96 SECTOR III,2024Q3,75265.0,2024
45-96 SECTOR III,2025Q1,72636.0,2025
45-96 SECTOR III,2025Q2,73945.0,2025
45-96 SECTOR III,2025Q3,68060.0,2025
45-96 SECTOR III,2025Q4,68714.0,2025
45-96 SECTOR III,2026Q4,66511.0,2026
49-53 Transport and stockage,2024Q1,4677.0,2024
49-53 Transport and stockage,2024Q2,4278.0,2024
49-53 Transport and stockage,2024Q3,4355.0,2024
49-53 Transport and stockage,2025Q1,4250.0,2025
49-53 Transport and stockage,2025Q2,3974.0,2025
49-53 Transport and stockage,2025Q3,4354.0,2025
49-53 Transport and stockage,2025Q4,4025.0,2025
49-53 Transport and stockage,2026Q4,3746.0,2026
5-43 SECTOR II,2024Q1,25343.0,2024
5-43 SECTOR II,2024Q2,23157.0,2024
5-43 SECTOR II,2024Q3,23511.0,2024
5-43 SECTOR II,2025Q1,20915.0,2025
5-43 SECTOR II,2025Q2,19904.0,2025
5-43 SECTOR II,2025Q3,20371.0,2025
5-43 SECTOR II,2025Q4,21213.0,2025
5-43 SECTOR II,2026Q4,19523.0,2026
5-96 Total,2024Q1,112500.0,2024
5-96 Total,2024Q2,103605.0,2024
5-96 Total,2024Q3,98776.0,2024
5-96 Total,2025Q1,93551.0,2025
5-96 Total,2025Q2,93849.0,2025
5-96 Total,2025Q3,88431.0,2025
5-96 Total,2025Q4,89927.0,2025
5-96 Total,2026Q4,86034.0,2026
55-56 Hotels and gastronomy,2024Q1,5932.0,2024
55-56 Hotels and gastronomy,2024Q2,6423.0,2024
55-56 Hotels and gastronomy,2024Q3,5745.0,2024
55-56 Hotels and gastronomy,2025Q1,5706.0,2025
55-56 Hotels and gastronomy,2025Q2,5566.0,2025
55-56 Hotels and gastronomy,2025Q3,4371.0,2025
55-56 Hotels and gastronomy,2025Q4,5381.0,2025
55-56 Hotels and gastronomy,2026Q4,4846.0,2026
58-63 IT and communications,2024Q1,6458.0,2024
58-63 IT and communications,2024Q2,5533.0,2024
58-63 IT and communications,2024Q3,4410.0,2024
58-63 IT and communications,2025Q1,4802.0,2025
58-63 IT and communications,2025Q2,4518.0,2025
58-63 IT and communications,2025Q3,4579.0,2025
58-63 IT and communications,2025Q4,4418.0,2025
58-63 IT and communications,2026Q4,4362.0,2026
62-63 IT and other information services,2024Q1,5534.0,2024
62-63 IT and other information services,2024Q2,4787.0,2024
62-63 IT and other information services,2024Q3,3716.0,2024
62-63 IT and other information services,2025Q1,4199.0,2025
62-63 IT and other information services,2025Q2,3828.0,2025
62-63 IT and other information services,2025Q3,3953.0,2025
62-63 IT and other information services,2025Q4,3808.0,2025
62-63 IT and other information services,2026Q4,3825.0,2026
64-66 Finance and assurance,2024Q1,5898.0,2024
64-66 Finance and assurance,2024Q2,5933.0,2024
64-66 Finance and assurance,2024Q3,5474.0,2024
64-66 Finance and assurance,2025Q1,5575.0,2025
64-66 Finance and assurance,2025Q2,5030.0,2025
64-66 Finance and assurance,2025Q3,4451.0,2025
64-66 Finance and assurance,2025Q4,5206.0,2025
64-66 Finance and assurance,2026Q4,4747.0,2026
68-75 Real estate and scientific service activities,2024Q1,14889.0,2024
68-75 Real estate and scientific service activities,2024Q2,15170.0,2024
68-75 Real estate and scientific service activities,2024Q3,15397.0,2024
68-75 Real estate and scientific service activities,2025Q1,13792.0,2025
68-75 Real estate and scientific service activities,2025Q2,12569.0,2025
68-75 Real estate and scientific service activities,2025Q3,12892.0,2025
68-75 Real estate and scientific service activities,2025Q4,14233.0,2025
68-75 Real estate and scientific service activities,2026Q4,12817.0,2026
77+79-82 Administrative and support service activities (without 78),2024Q1,4270.0,2024
77+79-82 Administrative and support service activities (without 78),2024Q2,3154.0,2024
77+79-82 Administrative and support service activities (without 78),2024Q3,3958.0,2024
77+79-82 Administrative and support service activities (without 78),2025Q1,3033.0,2025
77+79-82 Administrative and support service activities (without 78),2025Q2,3430.0,2025
77+79-82 Administrative and support service activities (without 78),2025Q3,3220.0,2025
77+79-82 Administrative and support service activities (without 78),2025Q4,3510.0,2025
77+79-82 Administrative and support service activities (without 78),2026Q4,2882.0,2026
84 Public administration,2024Q1,4019.0,2024
84 Public administration,2024Q2,3585.0,2024
84 Public administration,2024Q3,3448.0,2024
84 Public administration,2025Q1,3484.0,2025
84 Public administration,2025Q2,3599.0,2025
84 Public administration,2025Q3,2957.0,2025
84 Public administration,2025Q4,3529.0,2025
84 Public administration,2026Q4,2924.0,2026
85 Education,2024Q1,3289.0,2024
85 Education,2024Q2,2866.0,2024
85 Education,2024Q3,2298.0,2024
85 Education,2025Q1,2323.0,2025
85 Education,2025Q2,2031.0,2025
85 Education,2025Q3,2297.0,2025
85 Education,2025Q4,2121.0,2025
85 Education,2026Q4,2122.0,2026
86-88 Health and social work activities,2024Q1,19891.0,2024
86-88 Health and social work activities,2024Q2,19143.0,2024
86-88 Health and social work activities,2024Q3,17212.0,2024
86-88 Health and social work activities,2025Q1,15777.0,2025
86-88 Health and social work activities,2025Q2,18639.0,2025
86-88 Health and social work activities,2025Q3,14785.0,2025
86-88 Health and social work activities,2025Q4,14569.0,2025
86-88 Health and social work activities,2026Q4,14561.0,2026
90-96 Arts and amusement,2024Q1,4500.0,2024
90-96 Arts and amusement,2024Q2,3495.0,2024
90-96 Arts and amusement,2024Q3,3265.0,2024
90-96 Arts and amusement,2025Q1,4127.0,2025
90-96 Arts and amusement,2025Q2,3893.0,2025
90-96 Arts and amusement,2025Q3,3538.0,2025
90-96 Arts and amusement,2025Q4,3488.0,2025
90-96 Arts and amusement,2026Q4,2763.0,2026
