region,quarter,vacancies,year
Central Switzerland,2024Q1,11332.0,2024
Central Switzerland,2024Q2,10756.0,2024
Central Switzerland,2024Q3,8868.0,2024
Central Switzerland,2024Q4,8660.0,2024
Central Switzerland,2025Q1,9005.0,2025
Central Switzerland,2025Q2,9750.0,2025
Central Switzerland,2025Q3,9275.0,2025
Central Switzerland,2025Q4,8144.0,2025
Eastern Switzerland,2024Q1,17341.0,2024
Eastern Switzerland,2024Q2,15711.0,2024
Eastern Switzerland,2024Q3,14551.0,2024
Eastern Switzerland,2024Q4,14030.0,2024
Eastern Switzerland,2025Q1,14482.0,2025
Eastern Switzerland,2025Q2,14251.0,2025
Eastern Switzerland,2025Q3,14200.0,2025
Eastern Switzerland,2025Q4,12442.0,2025
Espace Mittelland,2024Q1,23505.0,2024
Espace Mittelland,2024Q2,20376.0,2024
Espace Mittelland,2024Q3,20071.0,2024
Espace Mittelland,2024Q4,18933.0,2024
Espace Mittelland,2025Q1,18030.0,2025
Espace Mittelland,2025Q2,16914.0,2025
Espace Mittelland,2025Q3,15526.0,2025
Espace Mittelland,2025Q4,14724.0,2025
Lake Geneva Region,2024Q1,15680.0,2024
Lake Geneva Region,2024Q2,14348.0,2024
Lake Geneva Region,2024Q3,14814.0,2024
Lake Geneva Region,2024Q4,12045.0,2024
Lake Geneva Region,2025Q1,13968.0,2025
Lake Geneva Region,2025Q2,14258.0,2025
Lake Geneva Region,2025Q3,13926.0,2025
Lake Geneva Region,2025Q4,13400.0,2025
Northwestern Switzerland,2024Q1,17193.0,2024
Northwestern Switzerland,2024Q2,16041.0,2024
Northwestern Switzerland,2024Q3,15858.0,2024
Northwestern Switzerland,2024Q4,13141.0,2024
Northwestern Switzerland,2025Q1,14291.0,2025
Northwestern Switzerland,2025Q2,13365.0,2025
Northwestern Switzerland,2025Q3,12189.0,2025
Northwestern Switzerland,2025Q4,13495.0,2025
Ticino,2024Q1,1855.0,2024
Ticino,2024Q2,2013.0,2024
Ticino,2024Q3,1264.0,2024
Ticino,2024Q4,1381.0,2024
Ticino,2025Q1,2191.0,2025
Ticino,2025Q2,1470.0,2025
Ticino,2025Q3,1327.0,2025
Ticino,2025Q4,1714.0,2025
Zurich,2024Q1,25594.0,2024
Zurich,2024Q2,24361.0,2024
Zurich,2024Q3,23350.0,2024
Zurich,2024Q4,21736.0,2024
Zurich,2025Q1,21584.0,2025
Zurich,2025Q2,23842.0,2025
Zurich,2025Q3,21988.0,2025
Zurich,2025Q4,22114.0,2025
